时间,商品名称,库存变化,单笔销量
2026-05-13 11:57:24,日本地址,初始销量: -13,13
2026-05-13 11:57:24,国际地址,初始销量: -3,3
2026-05-13 11:57:24,中国地址,初始销量: -27,27
2026-05-13 11:57:24,韩国地址,初始销量: -19,19
2026-05-13 15:30:56,国际地址,-3->-5,2
2026-05-13 17:25:28,日本地址,-13->-6,-7
2026-05-13 21:22:37,国际地址,-5->-8,3
2026-05-13 22:07:26,国际地址,-8->-10,2
2026-05-13 22:36:16,日本地址,-6->-4,-2
2026-05-13 22:36:16,中国地址,-27->-32,5
2026-05-13 22:46:03,中国地址,-32->-27,-5
2026-05-13 23:38:05,国际地址,-10->-13,3
2026-05-13 23:39:10,国际地址,-13->-10,-3
2026-05-13 23:40:15,国际地址,-10->-13,3
2026-05-13 23:57:01,国际地址,-13->-14,1
2026-05-14 00:02:17,国际地址,-14->-17,3
2026-05-14 03:26:03,国际地址,-17->-14,-3
